category_code,category_name,account_code,rule_type,rule_value,priority
TRANSPORT,交通費,6210,seller_name_contains,計程車,10
TRANSPORT,交通費,6210,seller_name_contains,台灣高鐵,10
TRANSPORT,交通費,6210,seller_name_contains,台鐵,10
TRANSPORT,交通費,6210,seller_name_contains,捷運,10
TRANSPORT,交通費,6210,item_name_contains,票,5
MEAL,餐飲費,6220,seller_name_contains,餐廳,10
MEAL,餐飲費,6220,seller_name_contains,便當,10
MEAL,餐飲費,6220,seller_name_contains,小吃,10
MEAL,餐飲費,6220,item_name_contains,餐,5
OFFICE,辦公用品,6230,seller_name_contains,文具,10
OFFICE,辦公用品,6230,seller_name_contains,7-ELEVEN,5
OFFICE,辦公用品,6230,seller_name_contains,全家,5
OFFICE,辦公用品,6230,item_name_contains,文具,10
OFFICE,辦公用品,6230,item_name_contains,列印,8
HOTEL,住宿費,6240,seller_name_contains,飯店,10
HOTEL,住宿費,6240,seller_name_contains,旅館,10
HOTEL,住宿費,6240,seller_name_contains,民宿,10
HOTEL,住宿費,6240,item_name_contains,住宿,10
TELECOM,通訊費,6250,seller_name_contains,中華電信,20
TELECOM,通訊費,6250,seller_tax_id,96979933,20
TELECOM,通訊費,6250,seller_name_contains,遠傳,15
TELECOM,通訊費,6250,seller_name_contains,台灣大哥大,15
BOOK,書籍雜誌,6260,seller_name_contains,書局,10
BOOK,書籍雜誌,6260,seller_name_contains,誠品,10
BOOK,書籍雜誌,6260,item_name_contains,書,8
BOOK,書籍雜誌,6260,item_name_contains,雜誌,8
